Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
203,1781587265852,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,25,15.789472579956055,15.000000953674316,45,36.842105865478516,10,0,3.869899034500122,8589934592,3221225472,6715703296,2252734464
199,1781587266056,3204,3204,3204,3204,3204,3204,3204,3204,35,21.052631378173828,14.285715103149414,10,35,42.85714340209961,5,4.761904716491699,3.869899034500122,8589934592,3221225472,6741131264,2252734464
203,1781587266256,3204,3204,3204,3204,3204,3204,3204,3204,10,9.523809432983398,5.263157844543457,5.263157844543457,23.809524536132813,10.526315689086914,9.523809432983398,0,3.869899034500122,8589934592,3221225472,6741131264,2252734464
200,1781587266461,3204,3204,3204,3204,3204,3204,3204,3204,5,9.523809432983398,4.761904716491699,4.761904716491699,0,0,0,0,3.7391562461853027,8589934592,3221225472,6741131264,2252734464
203,1781587266661,3204,3204,3204,3204,3204,3204,3204,3204,14.285715103149414,5,10,5,4.761904716491699,4.761904716491699,0,0,3.7391562461853027,8589934592,3221225472,6692356096,2252734464
203,1781587266865,3204,3204,3204,3204,3204,3204,3204,3204,20,20,15.000000953674316,14.285715103149414,5.263157844543457,9.523809432983398,0,4.761904716491699,3.7391562461853027,8589934592,3221225472,6717636608,2252734464
201,1781587267069,3204,3204,3204,3204,3204,3204,3204,3204,20,20,10,0,9.523809432983398,5,0,0,3.7391562461853027,8589934592,3221225472,6731350016,2252734464
204,1781587267271,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,20,15.000000953674316,19.047618865966797,20,15.000000953674316,14.285715103149414,0,3.7391562461853027,8589934592,3221225472,6696583168,2252734464
201,1781587267475,3204,3204,3204,3204,3204,3204,3204,3204,10,10,10,5,23.809524536132813,19.047618865966797,0,0,3.691988706588745,8589934592,3221225472,6696583168,2252734464
200,1781587267677,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,14.285715103149414,9.523809432983398,5,21.052631378173828,20,0,0,3.691988706588745,8589934592,3221225472,6704152576,2252734464
204,1781587267877,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,15.789472579956055,10,10,5,5,0,0,3.691988706588745,8589934592,3221225472,6707052544,2252734464
199,1781587268083,3204,3204,3204,3204,3204,3204,3204,3204,20,25,10,5,20,14.285715103149414,0,0,3.691988706588745,8589934592,3221225472,6699384832,2252734464
200,1781587268283,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,30.000001907348633,25,20,47.619049072265625,26.3157901763916,5.263157844543457,0,3.691988706588745,8589934592,3221225472,6719029248,2252734464
204,1781587268484,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,55,60.000003814697266,57.142860412597656,65,55,54.54545593261719,45,6.22197961807251,8589934592,3221225472,6736822272,2252734464
202,1781587268689,3204,3204,3204,3204,3204,3204,3204,3204,55,50,50,42.105262756347656,52.6315803527832,60.000003814697266,40,38.095237731933594,6.22197961807251,8589934592,3221225472,6754189312,2252734464
203,1781587268892,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,52.38095474243164,50,57.142860412597656,45.45454788208008,47.619049072265625,25,15.789472579956055,6.22197961807251,8589934592,3221225472,6792396800,2252734464
203,1781587269096,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,60.000003814697266,52.38095474243164,45,20,20,5,5,6.22197961807251,8589934592,3221225472,6796132352,2252734464
200,1781587269300,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,30.000001907348633,15.789472579956055,19.047618865966797,0,0,4.761904716491699,0,6.22197961807251,8589934592,3221225472,6796476416,2252734464
203,1781587269501,3204,3204,3204,3204,3204,3204,3204,3204,55,25,38.095237731933594,40,4.761904716491699,0,0,0,4.7695698738098145,8589934592,3221225472,6796476416,2252734464
204,1781587269705,3204,3204,3204,3204,3204,3204,3204,3204,85,61.904762268066406,45,47.36842346191406,47.36842346191406,20,9.523809432983398,9.523809432983398,4.7695698738098145,8589934592,3221225472,6795771904,2252734464
